SITE NAME,CHRONOLOGY,SITE TYPE,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,URL,LATITUDE,LONGITUDE
"Balnuaran Of Clava, North-east",Bronze Age,Stone Circle,"Chambered Cairn (Bronze Age),  (Bronze Age)",275760,844470,HIGHLAND,http://canmore.org.uk/site/14257,57.651132,-3.2080381
"Culdoich, Clava",Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age)",275110,843780,HIGHLAND,http://canmore.org.uk/site/14268,57.668337,-3.1935225
"Balnuaran Of Clava, Centre",Bronze Age,Stone Circle,"Ring Cairn (Bronze Age)",275710,844430,HIGHLAND,http://canmore.org.uk/site/14277,57.664351,-3.2344594
"Balnuaran Of Clava, South-west",Bronze Age,Stone Circle,"Chambered Cairn (Bronze Age)",275680,844380,HIGHLAND,http://canmore.org.uk/site/14279,57.660892,-3.1924398
Milton Of Clava North,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age)",275246,843974,HIGHLAND,http://canmore.org.uk/site/14281,57.64714,-3.336916
Daviot Cottage,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age)",272740,841190,HIGHLAND,http://canmore.org.uk/site/14308,57.653393,-3.0557909
Culchunaig,Neolithic / Bronze Age,Stone Circle,"Chambered Cairn (Neolithic)",274200,844180,HIGHLAND,http://canmore.org.uk/site/14310,57.667304,-3.1096705
Achnuallan,Neolithic / Bronze Age,Stone Circle,,270000,850000,HIGHLAND,http://canmore.org.uk/site/14315,57.132954,-2.8606854
Carriblair,Prehistoric,Stone Circle,"Cist (Period Unassigned),  (Prehistoric),  (Prehistoric), Food Vessel",270900,885110,HIGHLAND,http://canmore.org.uk/site/14642,57.137931,-2.8940121
Golspie-lairg Road,Neolithic / Bronze Age,Stone Circle,"Cist (Period Unassigned), Cremation (Period Unassigned), ",276900,899080,HIGHLAND,http://canmore.org.uk/site/14793,57.124084,-2.8439628
Delfour,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age), ",284420,808580,HIGHLAND,http://canmore.org.uk/site/14894,57.123972,-2.860477
Aviemore,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age), ",289700,813470,HIGHLAND,http://canmore.org.uk/site/14927,57.132811,-2.8684468
Soilshan Wood,Neolithic / Bronze Age,Stone Circle,,281080,828040,HIGHLAND,http://canmore.org.uk/site/14954,57.211062,-2.9315733
Little Urchany,Neolithic / Bronze Age,Stone Circle,"Chambered Cairn (Neolithic), ",286650,848570,HIGHLAND,http://canmore.org.uk/site/14996,57.326957,-2.8660477
Little Urchany,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age), ",286650,848590,HIGHLAND,http://canmore.org.uk/site/15007,57.330224,-2.8611419
Flemington,Neolithic / Bronze Age,Stone Circle(S),(S),280000,853000,HIGHLAND,http://canmore.org.uk/site/15233,57.446061,-2.8664955
Fearn Parish,Neolithic / Bronze Age,Stone Circle(S),(S),284000,877000,HIGHLAND,http://canmore.org.uk/site/15269,57.658299,-2.9820256
Grenish,Neolithic / Bronze Age,Stone Circle,"Ring Cairn (Neol/bronze Age)",290780,815500,HIGHLAND,http://canmore.org.uk/site/15398,57.637278,-2.9347273
Darnaway,Neolithic,Stone Circle, (Neolithic),299000,855000,MORAY,http://canmore.org.uk/site/15527,57.256979,-2.6870909
